country_id;country_name;powerplant_name;gppd_idnr;capacity_mw;latitude;longitude;primary_fuel_id;primary_fuel;source;url;geolocation_source;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;generation_gwh_2017
1;Australia;Albany Wind Farm;AUS0000065;216;-350641;1177977;1;Wind;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;8959527777777780;10264277777777800;9655555555555560;9587277777777780;8590027777777780
1;Australia;Appin (Mine);AUS0000264;556;-342082;1507722;2;Gas;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;20480444444444400;23829444444444400;1635836111111110;15893305555555600;6453472222222220
1;Australia;Awaba;AUS0000049;11;-330250;1515497;3;Waste;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;7655277777777780;8338611111111110;91725;883;8085555555555550
1;Australia;Bairnsdale;AUS0000081;940;-378429;1475639;2;Gas;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;13245666666666700;15488555555555600;14982111111111100;19754055555555600;16852444444444400
1;Australia;Ballarat Base Hospital;AUS0000113;30;-375596;1438469;2;Gas;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;4194444444444440;4213055555555560;5079444444444440;6831388888888890;6663333333333330
1;Australia;Banimboola;AUS0000014;1285;-365344;1474594;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;11468333333333300;2624138888888890;3808166666666670;47238055555555600;30383333333333300
1;Australia;Barron Gorge;AUS0000151;600;-168502;1456465;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;1804636111111110;2027461111111110;17372666666666700;10688388888888900;12777027777777800
1;Australia;Bastyan;AUS0000137;799;-417360;1455321;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;3236777777777780;41891527777777800;3582547222222220;27121166666666700;38479805555555600
1;Australia;Bayswater;AUS0000265;26400;-323953;1509491;5;Coal;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;1659338;155269;1709068;1791493;1594458
1;Australia;Belconnen;AUS0000400;10;-352142;1489872;3;Waste;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;4630277777777780;3885;31008333333333300;2223888888888890;2175
1;Australia;Berwick;AUS0000080;72;-381197;1452665;3;Waste;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;330125;3020916666666670;2416027777777780;18169444444444400;1597861111111110
1;Australia;Bidyadanga;AUS0000382;13;-186816;1217848;6;Oil;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;28466666666666700;29925;29072222222222200;32286111111111100;28983333333333300
1;Australia;Bluff Point (Woolnorth) Wind Farm;AUS0000009;650;-407207;1446869;1;Wind;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;2504438888888890;2762263888888890;24243472222222200;23479861111111100;23033194444444400
1;Australia;Bogong (Mount Beauty Hydro Scheme);AUS0000102;3000;-368055;1472280;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;8019083333333330;9911944444444440;7414361111111110;7314861111111110;1163325
1;Australia;Braemar 1;AUS0000152;5040;-271109;1509053;2;Gas;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;15491319444444400;16313680555555600;21966580555555600;12640997222222200;6497466666666670
1;Australia;Braemar 2;AUS0000153;5190;-271128;1509049;2;Gas;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;10036286111111100;12361830555555600;26029819444444400;11612019444444400;4604822222222220
1;Australia;Broadmeadows;AUS0000082;122;-376878;1449663;3;Waste;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;25231944444444400;2335333333333330;19281388888888900;175025;17447777777777800
1;Australia;Brooklyn;AUS0000079;283;-378180;1448319;3;Waste;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;2022888888888890;1949;1699861111111110;14432777777777800;12764722222222200
1;Australia;Broome;AUS0000180;396;-179810;1222046;2;Gas;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;14376388888888900;14037555555555600;13491611111111100;14506416666666700;13854722222222200
1;Australia;Browns Plains;AUS0000078;22;-276721;1530663;3;Waste;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;14225555555555600;136975;112175;12756666666666700;13434722222222200
1;Australia;Burrendong;AUS0000300;190;-326646;1491080;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;43844722222222200;15805277777777800;7618888888888890;6788333333333330;41501666666666700
1;Australia;Burrinjuck Power Station;AUS0000048;270;-350025;1485834;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;8592888888888890;4101583333333330;8474777777777780;8307222222222220;10696916666666700
1;Australia;Butlers Gorge;AUS0000127;144;-422669;1462618;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;10186888888888900;6556694444444440;9180583333333330;47056666666666700;9322916666666670
1;Australia;Callide B;AUS0000177;7000;-243449;1506197;5;Coal;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;38935041666666700;28074730555555600;3529535;4296041111111110;47783469444444400
1;Australia;Callide C;AUS0000176;8400;-243449;1506182;5;Coal;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;4585591944444440;31026994444444400;5552424166666670;60355391666666700;54435888888888900
1;Australia;Canunda Wind Farm;AUS0000064;460;-377603;1404033;1;Wind;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;11989972222222200;13099277777777800;12368722222222200;11844888888888900;11798805555555600
1;Australia;Capital Hill Wind Farm;AUS0000047;1400;-351660;1495186;1;Wind;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;35407916666666700;38200888888888900;32894;37051416666666700;3546427777777780
1;Australia;Carnarvon;AUS0000386;150;-248692;1136754;2;Gas;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;4904416666666670;47908055555555600;4608027777777780;44690555555555600;4124111111111110
1;Australia;Catagunya;AUS0000126;480;-424524;1465977;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;22252277777777800;26453;21717333333333300;2236161111111110;22442111111111100
1;Australia;Cathedral Rocks Wind Farm;AUS0000063;660;-348509;1355852;1;Wind;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;17761388888888900;19877444444444400;17233916666666700;17123;15318777777777800
1;Australia;Cethana;AUS0000144;850;-414806;1461343;4;Hydro;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;3462808333333330;45666;24187777777777800;16982638888888900;4139902777777780
1;Australia;Challicum Hills Wind Farm;AUS0000006;525;-373893;1431123;1;Wind;Australian Renewable Energy Mapping Infrastructure;http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer;Australian Renewable Energy Mapping Infrastructure;13670027777777800;15239583333333300;13542583333333300;13662;12716222222222200
