Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0
Flemington,12/132 Princes St,2,u,556000.0,S,Woodards,16/07/2016,4.4,3031.0,2.0,2.0,1.0,0.0,79.0,2009.0,Moonee Valley,-37.784,144.9356,Northern Metropolitan,3593.0
Carnegie,2/60 Woornack Rd,2,u,635000.0,S,Noel,6/05/2017,11.4,3163.0,2.0,1.0,1.0,0.0,73.0,1980.0,Glen Eira,-37.8981,145.0619,Southern Metropolitan,7822.0
Doreen,33 Starboard Dr,3,h,530500.0,S,Buckingham,1/07/2017,25.9,3754.0,3.0,2.0,2.0,400.0,179.0,2012.0,Whittlesea,-37.61042,145.11932,Northern Victoria,7254.0
Eaglemont,104 Studley Rd,3,h,1440000.0,S,Miles,15/07/2017,8.9,3084.0,3.0,1.0,2.0,598.0,116.0,1955.0,Banyule,-37.76093,145.056,Eastern Metropolitan,1651.0
Murrumbeena,17 Howe St,3,h,1370000.0,S,Woodards,12/11/2016,12.1,3163.0,3.0,2.0,2.0,834.0,168.0,1954.0,Glen Eira,-37.8959,145.0736,Southern Metropolitan,4442.0
Footscray,101/26 Beaurepaire Pde,2,u,455000.0,SP,Jas,12/08/2017,5.1,3011.0,2.0,1.0,1.0,0.0,62.0,2015.0,Maribyrnong,-37.79975,144.88368,Western Metropolitan,7570.0
Essendon North,18 Royal Av,3,h,1535000.0,S,Jellis,22/07/2017,8.2,3041.0,3.0,1.0,2.0,811.0,152.0,1925.0,Moonee Valley,-37.7384,144.90485,Western Metropolitan,1308.0
Richmond,249 Punt Rd,4,h,905000.0,S,Biggin,22/05/2016,2.6,3121.0,4.0,1.0,0.0,254.0,124.0,1890.0,Yarra,-37.8201,144.9898,Northern Metropolitan,14949.0
Fitzroy,502/416 Gore St,2,u,790000.0,S,Nelson,8/07/2017,2.1,3065.0,2.0,1.0,2.0,6367.0,75.0,1930.0,Yarra,-37.7967,144.98363,Northern Metropolitan,5825.0
Bentleigh,15A Windsor Av,4,t,1750000.0,S,Buxton,12/08/2017,11.4,3204.0,4.0,3.0,2.0,429.0,262.0,2013.0,Glen Eira,-37.91582,145.048,Southern Metropolitan,6795.0
Preston,227 Murray Rd,2,h,850000.0,S,Barry,7/05/2016,8.8,3072.0,2.0,1.0,1.0,356.0,102.0,1940.0,Darebin,-37.7384,145.0058,Northern Metropolitan,14577.0
Hadfield,27 Middle St,3,h,730000.0,S,Barry,10/12/2016,12.1,3046.0,3.0,1.0,2.0,570.0,134.0,1970.0,Moreland,-37.7106,144.9491,Northern Metropolitan,2606.0
